,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,103.75,11.493415626621754,19.64354714008563,17.35850597192143,9.586266009232943,59.09188309203679,158,208.9975903614458,230
2,46.75,7.715176518808164,3.354049523809902,12.348230578166318,5.244353422964751,29.192388155425117,158,210.28342245989305,227
3,55.25,8.387281135541944,-73.48216359187616,10.121081599460851,7.894459828236795,32.89949493661167,159,208.3891402714932,232
4,3.0,1.9544100476116797,-0.0,3.415650255319866,1.0,6.0,159,199.33333333333334,225
5,131.0,12.914889870235298,1.8240662897335211,22.44672067424902,8.987303128153345,77.57411613907041,158,206.74618320610688,230
6,81.75,10.202319970580199,-84.10650408158406,11.022904652791176,9.684967070932695,34.02081528017131,158,211.88073394495413,230
7,12.0,3.9088200952233594,10.6560667331557,5.4567465237539405,3.0765625005749095,12.63908729652601,164,207.25,228
8,53.0,8.214724333230155,-5.328092433956593,9.163538965217667,8.205660510872626,29.606601717798213,161,209.05188679245282,233
9,49.5,7.938851142601841,16.785013931418575,10.74650789745022,6.113203407300546,27.65685424949238,158,207.34848484848484,226
10,307.0,19.77080019204319,6.836944908653998,28.382700255283517,15.403076298392302,98.92640687119285,158,207.31514657980455,234
11,369.75,21.697472702271718,33.73536440271712,36.15345065900686,19.42933277703662,145.20458146424488,158,207.83705206220418,231
12,55.25,8.387281135541944,3.5219632237039296,16.205095870872853,4.64973187734982,35.36396103067893,159,206.88235294117646,224
13,3.75,2.1850968611841584,45.00001609038752,2.3094010767585034,2.0132891827388666,5.707106781186548,162,202.4,229
14,21.0,5.170882945826411,32.09340157495851,6.931024319597328,4.513461279345672,20.071067811865476,165,204.01190476190476,230
15,38.25,6.978639737521917,31.56672540857099,8.090688887036194,6.371742850889645,23.899494936611667,160,206.58169934640523,225
16,355.75,21.282738734465877,3.0653775106980317,30.723866207305385,17.995209188403827,126.79036790187178,158,209.8910751932537,233
17,17.25,4.686510657907603,-4.312817004513984,5.972040793575449,4.213122089018592,16.363961030678926,158,206.47826086956522,233
18,74.0,9.706684619910241,-72.75603718396039,12.705954149331156,7.646417171062909,34.435028842544405,158,209.125,229
19,43.0,7.399277020331919,-56.16298478421552,9.40119669108737,6.0788384030044424,25.4350288425444,159,208.25,226
20,89.5,10.674967880691588,37.195358317494154,14.436318542127951,8.163098829315258,38.04163056034262,158,205.88826815642457,228
21,73.25,9.657370069115643,-7.869975115909109,11.062690739338201,9.116430660975649,35.435028842544405,158,207.87372013651878,230
22,326.0,20.37341629633241,-34.48455965919977,27.851375319092618,16.670953534661198,103.5477272147525,158,206.88420245398774,231
23,80.25,10.108287365572707,-59.30465149379252,13.37116157122953,7.901302570510972,35.2634559672906,158,207.9595015576324,233
24,30.75,6.257165172872317,76.22121049843133,6.924001338528712,5.738067108019853,19.606601717798213,159,205.10569105691056,228
25,104.5,11.534883286137944,35.39362441164841,18.642662496984144,8.640516475549799,51.920310216782966,158,205.29665071770336,224
26,211.75,16.419758633965078,-45.83313050493563,23.446465223753084,14.495266052108015,75.74873734152916,158,208.15466351829988,229
27,147.25,13.692498784453214,-8.08898800959398,17.7400532199598,10.896848576930035,52.38477631085023,158,207.55687606112053,234
28,4.5,2.393653682408596,87.40001833189815,3.708360954253563,1.519798482703983,6.810660171779822,163,206.27777777777777,225
29,249.75,17.83231830967603,-30.478281428568536,19.952331072634966,16.820483110731956,80.5477272147525,158,205.56056056056056,227
30,86.25,10.479356408358663,70.55185877245714,15.220444069878262,7.598109542583975,39.95279579551077,158,206.44347826086957,225
31,39.75,7.1141599576634995,4.440178164750045,9.705043700568087,5.815227718477044,27.14213562373095,158,205.66037735849056,226
32,459.25,24.18129981865374,-30.006380131488857,36.31617589609514,19.49711233949896,120.79036790187179,158,202.70168753402285,225
33,5.5,2.6462837142006137,77.44261024762024,3.279983288401781,2.081494347509531,7.414213562373095,161,194.54545454545453,220
34,178.25,15.065024024177417,-76.83261528368305,20.705244157149416,12.64365337596698,80.94112549695429,158,203.70967741935485,226
35,15.5,4.442433223290478,-26.48555518308302,6.371784866986291,3.1864932924305784,14.949747468305834,162,203.5,226
36,10.5,3.656366395715726,33.53111911891226,7.5369464540946085,2.235939804700076,15.32842712474619,161,200.61904761904762,229
37,8.75,3.3377905890622728,-57.34499217382712,5.171939568465247,2.229400092763274,11.242640687119284,161,196.68571428571428,220
38,47.75,7.797255174810172,36.063759935399986,8.531865670124539,7.447876036333811,25.849242404917497,158,205.0523560209424,222
39,211.25,16.40036139313104,-78.16231083276524,22.173142328972617,14.304671491882017,71.2842712474619,159,206.11597633136094,223
40,278.5,18.83075179616424,-19.03204036403125,27.207511580335662,14.674868544224795,88.42640687119284,158,205.16696588868942,227
41,30.0,6.180387232371033,-74.73128174656584,6.943139092864615,5.563875306476955,19.31370849898476,163,204.64166666666668,225
42,69.5,9.40692023773423,-84.63689796454702,12.013598540682395,7.7246749743769385,32.94974746830583,163,204.0503597122302,228
43,113.25,12.008096370418468,19.97278341669232,14.136050114638909,10.343756037124939,41.09188309203678,158,206.01103752759383,226
44,10.0,3.5682482323055424,4.451982570556327,5.001977654726825,2.6077230569240912,11.414213562373096,165,197.025,221
45,88.5,10.61516366850092,-84.25183900762626,12.352413417591148,9.52627458152556,35.89949493661167,160,208.03389830508473,228
46,54.0,8.291859587312052,73.86219319677853,9.64893735938661,7.318548996361015,27.77817459305202,158,202.14814814814815,217
